,Анекдоты
394,"Встречаются два клитора. Один другому говорит:
- А говорят ты солёненький!
Второй отмахивается:
- Да это всё злые языки!

"
395,"В публичный дом приходит клиент и видит: кругом одни русалки!
— Я бы хотел женщину с ногами! — говорит он.
— А у нас сегодня рыбный день.

"
396,"фарцовщик подходит к иностранцу и говорит:
— ду ю вант сомсинг тред ор чендж?
иностранец:
— нот
фацовщик:
— вай нот то, ёбтить?

"
397,"Вовочка получил двойку. Отец подносит свой кулак ему под нос и говорит:
— Чуешь, чем пахнет?
— Опять у матери в пизде ковырялся.

"
398,"— Дорогой Юрий, хотелось бы смачно и страстно у вас отсосать после концерта в Ярославле, как Вы на это смотрите ?
— Сверху вниз ахахах ахахха ахахах хахаха

"
399,"поймали два ковбоя, которые типа охотники за головами, индейского вождя, отрубили ему голову, привязали к лошади. раскинули палатку, заночевали. утром один просыпается, выглядывает из палатки - а там охуенная толпа индейцев, до горизонта просто, и все сидят и на их палатку луки нацелили. он медленно засовывает голову обратно, будит второго, типа джон, пиздец, вставай. тот типа - хуль надо. первый типа - джон, пиздец, охуеть, МЫ РАЗБОГАТЕЛИ

"
400,"Она:
— Доктор, поцелуйте меня!
Доктор:
— Я не могу. У нас, докторов, существует своя
медицинская этика, которая не позволяет целовать
пациентов. А вообще-то, мне и трахать вас не следовало.

"
401,"Купил мужчина шляпу, а она ему как раз.

"
402,"Революция. Город весь в пожарах, по улицам бегают чумазые дети с автоматами, в переулках валяются раздутые трупы, дым, смрад. На центральной площади большая толпа народа приветствует нового лидера.
- Свободные жители Чуркестана! Первым указом меня, как президента нашего свободного государства я переименовываю столицу нашей любимой родины в Ыкпукы!
Толпа недоуменно переглядывается. Президент достает мобилу, набирает номер.
- Толик, сцуко, я выкрутился. Ыкпукы. Твой ход.

"
403,"В России две беды: энтузиасты и инфраструктура.

"
404,"Москва, Рублёвское шоссе, гаишшник останавливает Бентли, превышение скорости трёхкратное, Бентли останавливается, приоткрывается наглухо тонированное стекло. Гаишник под козырек:
- Инспектор Петров, ваши документы.
Из Бентли высовывается рука с пятитысячной купюрой, инспектор прячет её в нагрудный карман. Гаишник:
- Всего хорошего, постарайтесь больше не нарушать...
Из окна появляется следующая купюра того же достоинства.
- И, будьте внимательны, через два квартала ещё один экипаж.
Снова пятитысячная. Гаишник вглядывается в номер машины:
- Я здесь работаю вторник/четверг с 8 утра и до 15:00, я ваш номер запомнил, в эти дни можете ездить спокойно...
Снова купюра в пять тысяч. Гаишник:
- Счастья, здоровья Вам, умных детей, успехов в бизнесе, чтоб собака на конкурсах побеждала и т.п.
Снова рука с купюрой.
Инспектор некоторое время стоит в замешательстве, затем
прокашливается и произносит:
- А сейчас - стихи!!

"
405,"Заходит петербуржец в лифт, а там мужик на корточках, сидит и срет, с сигаретой, который зашел обращается к первому - Вы наверное москвич? Да, отвечает первый, а как вы узнали? Просто мы петербуржцы не курим в лифтах.

"
406,"Перед званым вечером у Наташи Ростовой Ржевский отчитывает гусаров: не материться, не нажираться, дам прилюдно за задницу не хватать и т. п.
Видя скованность гусар за ужином, Наташа задает вопрос: «Господа гусары у меня тут есть 29 подсвечников, а я купила тридцать свечей. Куда бы вставить тридцатую?»
Поручик Ржевский, вскакивая из-за стола: ""Господа гусары, ни слова о пизде!!""

"
407,"— Алексей! Открою вам тайну. Вы большой тормоз!
— Какую?

"
408,"— Милый, мне идет это платье?
— Конечно, дорогая!
— Ну скажи мне честно!
— Честно? Ты — ебанутая блядь!

"
409,"Банк. Кредитный отдел:
- Мне нужен кредит.
- На какие цели?
- Я хочу открыть гей-клуб.
- А кто туда будет ходить?
- Пидары разные - Вася, Петя придет, те кто мне кнопки в лифте жгут постоянно, судьи футбольные придут…
- Извините, но мы вынуждены отказать вам в кредите.
- О, и Вы приходите!

"
410,"Зоолог–извращенец трахнул свою жену раком.

"
411,"Идёт мужик по кладбищу, думает:
-А, всё-равно помирать..
Прилёг и зарылся.

"
412,"Дорогой Дедушка Мороз! Это письмо не спам, а реальная возможность заработать…

"
413,"в семье вампиров:
сыночка! иди есть суп, а то свернется

"
414,"Олень, зацепившийся в городе рогами за провода, побежал по семнадцатому маршруту.

"
415,"Наш спонсор — отель «Развитие». Счастлив только тот, кто остановился в «Развитии»!

"
416,"Филолог приходит на работу с огромным синяком под глазом. Начальник его спрашивает:
— Ну как же так? Вы же интеллигентнейший человек! Откуда же это у Вас?
— Да Вы понимаете…Пили чай у одной милейшей особы. В числе приглашенных был один военный. Вот он начал рассказывать:
— ""Был у меня в роте один хуй…""
А ему говорю :
— ""Извините, но правильно говорить не в роте, а во рту""

"
417,"В семье наркоманов:
Муж жене: пойдем гулять
Жена: мне НЕ ПОД ЧЕМ ходить

"
418,"— Поручик Ржевский, пойдемте поебемся?
— Намек понял!

"
419,"Поручик Ржевский катает Наташу на лодке. Наташа:
- Ой, поручик, на правом берегу олени, как бы я хотела стать оленем! Поручик в воду смотрит.
- Поручик, что вы там нашли?
- Да нет, так, ничего... Плывут дальше...
- Ой, поручик, посмотрите, там, за камышами лебеди плывут, как бы я хотела стать лебедем!
Поручик в воду смотрит...
- Поручик, что вы все в воду да, в воду?!
- Блядь, раки, где же раки!

"
420,"Стою, курю на балконе. пепельницы под рукой не было, поэтому швырнул окурок из окна.

"
421,"А внизу шел какой–то маленький мальчик, лет 10 наверное. И окурок прям у его ног упал. Он голову задирает и кричит мне:

"
422,"— Дяденька, окурки с балкона кидать нельзя. Это некрасиво!

"
423,"И, знаете, мне так не по себе стало. Я не поленился, оделся, спустился в низ с 7–го этажа и дал пиздюлей этому мальчику. Еще, блядь, выебываться будет…

"
424,"Пьяные рыбаки ночью поймали русалку. Наутро оказалось, что это сом, и всем стало стыдно.

"
425,"Вопрос: Чем теща отличается от торнадо?
Ответ: Она не сносит дома и не уносит тысячи жизней.

"
426,"— Рабинович, у вас не будет что–нибудь покушать?
— Не ем!

"
427,"— Штирлиц, закройте окно — дует.
— Do it yourself motherfucker.

"
428,"— Папа, а что обозначают слова ""некомпетентность"" и ""безразличие""?
— Не знаю, мне похуй!

"
429,"Сидит мужик в симфоническом зале, слушает музыку. Вдруг начинает суетиться.
Поворачивается к соседу справа:
- Простите, это не вы сказали ""Еб твою мать?""
- Нет
Поворачивается к соседу слева:
- Простите, это не вы сказали ""Еб твою мать? ""
- Нет
Мужик успокаивается:
- Значит музыкой навеяло...

"
430,"Сидит Лукашенко в кабинете и говорит по телефону:

"
431,"— Хорошая… Плохая… Хорошая… Плохая… Хорошая…

"
432,"Потом кладет трубку и сам себе говорит: «Нет, ну что за народ — сами даже картошку перебрать не могут!»

"
433,"Ползут две черепахи по пустыне
– чё гололёд что ли?
– да не похоже.
– ТОГДА НАХУЯ СТОКА ПЕСКА НАСЫПАЛИ?

"
434,"Bъезжает грузовик в детский сад. Шофер, подпрыгивая на месте от тряски, говорит:
- Hе дети, а камни какие-то!

"
435,"Попал мужик в рай. Глядь, а там Гитлер. Гитлер пожал плечами и говорит:
— Сам охуел!

"
436,"Идет мужик по улице с буханкой свежего черного хлеба. В руках ее несет, прям так и представляет, как щас домой придет и наебнет хлебушка с борщиком. Идет такой значит, как вдруг из кустов выпрыгивает бомжиха и говорит мужику:
Б: Мужик, дай корочку хлеба
М: Не дам. Кто ты такая вообще, чтоб я тебе хлеб давал?
Б: Ну, дай! Очень надо!
М: А ты скажи зачем, может и дам.
Б: Да понимаешь, делаю я тут в кустах местному бомжу минет. У него под залупой столько всякого вкусного, что хоть на хлеб намазывай!

"
437,"В бар заходит Рене Декарт. Бармен спрашивает:
- Пиво будете?
- Не думаю, - отвечает Рене и исчезает в воздухе.

"
438,"- Слушай, лев, а ты боишься кого-нибудь?
- Ну да, Ленина
- И почему же?
- Ну я же все-таки царь

"
439,"к врачу заходит мужик с уткой на голове,
доктор спрашивает — чем могу вам помочь?
утка отвечает — высуньте эту хуйню из моей задницы.

"
440,"На собрании колхоза идут выборы нового председателя. Народ активно обсуждает одного успешного кандидата. Вдруг, какой-то колхозник встает и говорит:
— Мы не можем его выбрать. У него обе дочери бляди.
Ему говорят:
— Но у него нет дочерей. У него только один сын.
Колхозник отвечает:
— Ну, мое дело сказать, а там вы сами уже решайте.

"
441,"Идёт как-то мужик мимо здания Третьяковской Галереи и видит, как другой мужик ссыт прямо на её стену. «Извините, вы не подскажете, как пройти к Пушкинскому музею?» – спрашивает первый. «А зачем тебе Пушкинский музей, – отвечает тот, – ссы здесь!».

"
442,"Пьяные Ленин и Дзержинский, обнявшись, ссут на Красной площади ночью.
— Феликс Эдмундович, а почему у меня — жуйьчит, а у вас — нет?
— Потому, Владимир Ильич, что вы ссыте на брусчатку, а я — вам в карман!
— Бля! Мои ""Апйельские тезисы""!

"
443,"Подбирает таксист на обочине голосующую девушку, привозит куда она попросила, а она ему говорит:
- У меня нет денег, возьмешь натурой?
- Извини, мне уже 3-я натура за вечер попалась, я больше не могу, деньги мне нужны.
Выходит таксист из машины и видит прохожего. Спрашивает его:
- Хочешь девку трахнуть?
- Хочу.
- Давай 100 рублей и трахай.
Тот залез в машину и начал ее тра""ать. Подходит мент, светит фонарем в окно и спрашивает:
- Что делаешь?
- Жену трахаю.
- Свою или чужую?
- Свою.
- Извините.

"
444,"Вопрос: Почему каратисты такие тупые?
Ответ: Потому что они на тренировках не читают книг.

"
445,"Идет Красная Шапочка по лесу, песенку напевает, а тут из кустов показывается голова Серого Волка.
- Здравствуй Красная Шапочка!
- Здравствуй Серый Волк!
- А ты, наверное, к бабушке идешь?
- Да, к бабушке.
- А в корзинке у тебя, наверное, пирожки?
- Да, пирожки.
- А пирожки, наверное, в газетку завернуты?
- Да, в газетку?
- Ну ка дай-ка мне газетки...

"
446,"Сидят два бомжа на помойке, один жрет тухлые макароны, а второй на него смотрит. Первый спрашивает:
- Чо смотришь, жри тоже!
- Не, подожду пока тебя вырвет, тепленьких поем.

"
447,"Заходит Паскаль в бар, а бар — это сто тысяч Паскалей.

"
448,"Заходит как-то давление в один бар в один бар.

"
449,"- Вы так молодо выглядите, в чём ваш секрет?
- Мне восемнадцать

"
450,"Приезжает гном на заправку, заходит в магазин и говорит кассиру:
— Мне, пожалуйста, каплю бензина и каплю масла.
Кассир недолго думая отвечает:
— Может тебе еще в колесо пукнуть?

"
451,"— Бэрримор, а что это за шум на улице?
— Гей-парад, сэр.
— А зачем он?
— Требуют однополой любви, сэр.
— А им запрещают?
— Нет, сэр.
— Но почему они тогда шумят?
— Пидорасы, сэр.

"
452,"Штирлиц лёг в кровать, овладел собой и крепко уснул.

"
453,"- Алло, здравствуйте, извините ради бога, это водопровод?
- КАКОЙ НАХУЙ ВОДО БЛЯТЬ ПРОВОД!? ЭТО МИНИСТЕРСТВО КУЛЬТУРЫ, ЁБ ТВОЮ МАТЬ!!

"
454,"Идет вечерняя молитва,полон зал прихожан...
После окончания вечерней молитвы батюшка говорит:""..
Машенька!Останься"".
-Что Батюшка, опять трахаться будем?
-Да! Причем, долго и ракообразно. Танечка, а ты чего осталась?!
-Батюшка, я тоже хочу трахаться.
-Танечка.Извини меня, но у тебя ноги кривые и личико безобразное...
-Так это же БОГ создал!!!
-Пущай тебя БОГ и ебёт, иди с миром...

"
455,"Это секс по телефону?
- Да, мой сладкий!
- Теть Тань, маму позовите!

"
456,"Сидит орёл на скале и говорит:
— Посмотришь налево — скалы. Посмотришь направо — скалы. Клюнешь себя в жопу — больно.

"
457,"Пьяный продюсер жене:
— Жена, принеси тазик, я буду блевать.
— Жена, концепция изменилась! Я обосрался!

"
458,"Вбегает в магазин маньяк и кричит:
- Сейчас кого-нибудь изнасилую! Девушка как вас зовут?
- Зина
- Вас не буду насиловать. Мою мать тоже зовут Зина. А тебя мужик как зовут?
- Ну, вообще-то, Николай, но друзья зовут меня Зиной…

"
459,"Америка. Парень провожает девушку после свидания домой, доходят
до крыльца ее дома и парень, опершись одной рукой о косяк двери,
вдруг говорит:
- Мэри, сделай мне, минет, пожалуйста...
- Ты что, сдурел, на пороге дома? А вдруг соседи увидят!
- Черт с ними, соседями, один минетик, Мэри....
- Hет, не сейчас, лучше завтра.
- Мэри, один легкий отсос, я же знаю - тебе это нравится..
- Hет, Hет и Hет, сейчас не буду...
- Пожалуйста, Мэри, пососи немного, ты же столько раз это делала
для меня и моих товарищей...
- Отстань от меня.... и т.д.
В этот момент открывается дверь и на пороге дома появляется заспанная
всклокоченная младшая сестра девушки и говорит:
- Добрый вечер. Папа сказал, чтобы я вам отсосала, или чтобы мы
с сестрой вам отсосали, или чтоб вы у себя отсосали, или папа
спустится и вы у него отсосете, HО РАДИ БОГА УБЕРИТЕ РУКУ С ДОМОФОHА!

"
460,"Была очень неловкая ситуация, когда Аркадий внезапно засмеялся на похоронах. Его тогда так и не дохоронили!

"
461,"Сын, 3 года, впервые попал в баню с отцом:
- Папа,какая у тебя писька большая!
- Твои бы слова да маме в рот!

"
462,"Сын с мамой моются в бане.
- Мама, а что это у тебя между ног?
- Это?.. Это папа один раз дрова рубил, у него топор с ручки слетел - и прямо в меня.
- Надо же! Прям по пизде?

"
463,"Муж возвращается домой, жена моет пол, он ее по заднице хлопнул и говорит: Убери свой комбайн с дороги. Она обиделась. Ночью муж пристает: Ну, повернись ко мне, дорогая. Жена: Щас! буду я из-за одного колоска свой комбайн разворачивать, отвернись и молоти вручную.

"
464,"— Иванов
— Я!
— Логично
— Петров
— Я!
— Логично
— Сидоров
— Я!
— Логично
— А что логично-то, товарищ прапорщик?
— Ну, смотри, солдат. Видишь эти чудесные российские зелёные заливные луга?
— Вижу, товарищ прапорщик
— Видишь между ними речка наша русская голубая бежит, на солнце играет?
— Вижу, товарищ прапорщик
— А видишь, солдат, там за рекой два гаража, синий и красный?
— Вижу, товарищ прапорщик
— Вот так и человек живёт, рождается и умирает

"
465,"На свадьбе один из гостей берет микрофон и с добрым видом,лучезарным взглядом с расстановкой:
- Уважаемые! Дорогие гости! Прошу минуточку внимания!
Все замолкают, он продолжает с улыбкой:
- Сейчас. Я хочу. Чтобы невеста. При всех ... сделала мне минет!
Зависла пауза. Все офигели. И меееедленно, с глазами налившимися кровью, поднимается жених.
Гость: Нет-нет, ИМЕННО невеста!

"
466,"Идет Пушкин с двумя девицами по набережной Невы. Прямо на дороге видят пьяницу в луже.
Девицы хлопают в ладоши и трясут Александра Сергеевича:
- Александр Сергеич, экспромтом, давайте что-нить?
Пушкин:
- Лежит безжизненное тело, на нашем жизненном пути:
Пьяница, поднимая голову из лужи:
- Тебе, мудак, какое дело? Идешь с блядями, так иди!
Пушкин:
- Пойдемте, девочки, это Лермонтов.

"
467,"Насилуют Брежнев с Сусловым Микояна, тут в кабинет врывается Штирлиц и кричит: ""Эй, нет такого анекдота!""

"
468,"Николай Валуев, посетив Нью Йорк, инстинктивно залез на Емпаир Стейт Билдинг.

"
469,"- Товарищ генерал! У Зоси мандавошки!
- Да не может быть! (Отряхивая усы)

"
470,"Два грузина в бане.
- Гиви, ты что, дрочишь?
- Нэт, бистро мою!

"
471,"Забегает в автобус маньяк и орет: - сейчас
всех изнасилую!
девушка: - ну хоть пожилых не трогайте.
бабуля: -сказал всех, значит всех

"
472,"В реанимацию привозят раненого с ножом, торчащим между лопаток.
Врач спрашивает:
- Больно?
Раненый:
- Только когда смеюсь.

"
473,"Идёт мужик по полю и встречает пастуха. Подходит к нему и спрашивает:
- Слушай, а сколько у тебя овцы едят в день?
- Какие белые или черные?
- Ну, белые.
- 1 кг в день.
- А черные?
- Тоже 1 кг в день.
- А сколько они у тебя в день меха дают?
- Какие белые или черные?
- Ну черные.
- 2 кг в день.
- А белые?
- Тоже 2 кг в день.
- Слушай, а чего ты их делишь на белых и черных?
- Белые это мои.
- А черные?
- Тоже мои.

"
474,"Сталин разговаривает по телефону с Черчилем:
- Нэт.
- Нэт.
- Нэт.
- Нэт.
- ...
- Нэт.

"
475,"Буратино разгадывает кроссворд, Мальвина, пытаясь обратить на себя внимание, заглядывает ему через плечо.
- Милый, ну сколько можно говорить... Женский половой орган из пяти букв – это пизда, а не дупло!

"
476,"Пригласили один раз ветерана войны на урок истории в 3-й класс. Ну и учительница
просит его: ""Раскажите самый запомнившийся вам бой.""
- Ну, значит, попали мы в окружение под Минском, хуяк слева немцы, хуяк справа немцы и спереди немцы.
Учительница в ужасе:
- Это же дети!!!
- Какие на хуй дети?! Фашисты!!!

"
477,"заходит пьяный в автобус, стало плохо. Он вырвал и прямо на женщину.
Женщина: Ну ты и свинья!!!..
Пьяный: это я свинья!? Да ты на себя посмотри, от тебя воняет как из унитаза!

"
478,"Грузин сидит на скамейке, и тут к нему подбегает девочка и говорит:
- Дядь, а дядь, скажи раз.
- Ну раз.
- Пидарас!
И убежала.

"
479,"Автобус битком. Пьяный в говно мужик отрыгивает на рядом стоящую женщину....
Ж- Мужчина, вы у меня ассоциируетесь со свиньей!!!
М- А ты у меня ассс... ассосс..... а соси ты хуй!!!!!!!

"
480,"Поутру барин просыпается и во рту обнаруживает семя малины. Кличет слугу:
-Степан! Степан, еб твою мать!
- Слушаю, Ваше высокоблагородие!
- Степан, а ну ответь, как у меня во рту могло оказаться семя малины?!
- Не могу знать, Ваше благородие!
-А ты подумай, подумай!
- … Ну, разве что, если вечером второго дня с Наташей целовались?!
- Так что с того, что целовался?!
- Стало быть с ея слюной к Вам в рот, Ваше высокоблагородие, семя и попало!
- Ну откуда у нее во рту, ебанная твоя башка, семя могло оказаться?!
- Видать, она в полдень второго дня, по обыкновению, хуй у графа сосала!
- Долбоеб! Откуда же у графа на хую семени малины взяться?!
- Если припомните, Ваше благородие, их превосходительство второго дня с утра к нам пожаловали…
- Так что же, он у нас хуем малину собирал что ли?!
- Осмелюсь признаться, я их превосходительству чем-то непонравившийся был тем утром, так они меня в наказание на кухне в жопу выебать изволили…
- Ах, так это все-таки ты, сука, третьего дня остатки малинового варенья сожрал?!

"
481,"- Почему Саша падает с качелей?
- Я не знаю. Почему?
- У нее нет рук!

"
482,"- Тук-тук
- Кто там?
- Не Саша!

"
483,"Возвращается мужик с курорта. Под мышкой бумажный сверток. Заходит в купе поезда. Проводница:
- Ой, а что это у вас такое? Мужик, с гордостью:
- Морская звезда. Сам ловил, сам сушил, сам лаком покрывал - вот жене домой в подарок везу. Проходит в купе. Попутчик:
- Ой, а что это у вас такое? Мужик, доброжелательно:
- Морская звезда. Сам ловил, сам сушил, сам лаком покрывал - вот жене домой в подарок везу. Приезжает на вокзал. Таксист:
- А что это у тебя такое? Мужик, спокойно:
- Морская звезда. Сам ловил, сам сушил, сам лаком покрывал - вот жене домой в подарок везу. Подъезжает к дому, навстречу идет знакомый:
- Ой, а что это у тебя такое? Мужик, с раздражением:
- Морская звезда. Ловил, сушил, покрыл лаком. Жене в подарок везу. В подъезде встречает соседа:
- А что это у тебя такое? Мужик, со злостью:
- Морская звезда! Поймал, засушил - жене в подарок привез!!! Звонит в дверь. Жена:
- Ой, милый, а что это у тебя такое? Мужик, с яростью впечатывая сверток жене в физиономию:
- МАНДАВОШКА!!!

"
484,"- Да я твою маму ебал!
- Папа, успокойся

"
485,"Священник в церкви:
- Кто будет материться в церкви, того я кадилом отхуячу!
- Простите, святой отец, вы же сами сказали ""отхуячу""?
- Получай пизды, окаянный!

"
486,"Токарь вдумчиво протирает гаечный ключик тряпочкой. Кнему подходит начальник и начинает грузить:
Н: Петров, бля!!! Ты какого хера домой так рано собираешся??? Время всего 17:20!!!
П: Понимаете, я пока ключик тряпочкой протру, пока станок железной щеточкой почищу, пока ручки мыльцем отмою, пока переоденусь.... Вот какраз и конец рабочего дня наступит....
Н: Нет, Петров!!! Я считаю, что это не правильно!!! Вот я собираюсь с работы ровно в 18:00!!!!
П: А че тебе собираться то? Ебальник закрыл и пошел...

"
487,"Пожилой еврей выходит на балкон после дождя. И видит, как над Ригой появляется красивая радуга и центр этой радуги приходится прямо над местной статуей Свободы. Старик неодобрительно покачал головой и проворчал:
— Вот на это деньги у них есть.

"
488,"К сантехнику прикрепили практиканта. Вызывают на выезд. Приезжают. Канализационный люк. Из него течет дерьмо. Сантехник подходит к люку и ныряет.
Через минуту выныривает, кричит:
- Ключ на 19.
Снова ныряет. Через полминуты выныривает:
- Прокладку No.6.
Опять ныряет. Выныривает:
- Ключ на 26.
Ныряет. Через минуту выныривает. Выходит, отряхивается и закуривает. Сел, отдышался и говорит практиканту:
- Вот так!.. Учись, студент! А то так и будешь всю жизнь ключи подавать...

"
489,"К врачу приходит молодая женщина вся в синяках и подтеках.
Врач:
- Господи, да где ж вас так угораздило??
- Понимаете, доктор, каждый раз, когда мой муж возвращается домой пьяный, он избивает меня до крови и руками, и ногами, пока я не упаду.
- Не волнуйтесь, у меня есть лекарство от этого. В следующий раз, когда Ваш муж придет домой пьяный, держите наготове отвар ромашки и как только он в квартиру войдёт, начинайте полоскать горло.
Через пару недель женщина снова приходит к врачу цветущая и без единого синяка:
- Доктор, вы просто кудесник! Когда мой муж приходит пьяный домой, я набираю в рот раствор ромашки и полоскаю, и ничего не происходит он меня даже пальцем не трогает!
Врач назидательно:
- Вот видите, как помогает иногда просто не пиздеть!

"
490,"- Пойдем ко мне? У меня дома игровая приставка есть.
- Какая?
- Ну,если хорошо играть - сантиметров 20...

"
491,"— Любимая, у тебя шнурок развязался.
— Дорогой, у меня обувь без шнурков.
— Я знаю. Я тебя разыграл. Никакая ты мне не любимая.

"
492,"Встречаются два друга:
— Как дела?
— Да вот, основал новый стартап, очень быстро растём, развиваемся.
— Круто! А в чём суть стартапа?
— Я провёл исследование рынка и решил публичный дом открыть.
— Ого, интересно, и какие цены?
— Анал — $100, орал — $50.
— А классический секс?
— Понимаешь, это ж стартап. В общем, я пока один работаю…

"
493,"Едет автомобилист ночью на машине по лесу.
Вдруг видит, стоит какой-то мужик, весь розовый, и голосует. Автомобилист останавливается и спрашивает:
- Тебе чего?
- Подвези...
- А ты кто?
- Я - пидор с Венеры!
- А ты к землянам не пристаешь?
- Не, к землянам я фригиден.
- Ну, тогда садись, поехали.
Едут дальше. Смотрят какой-то синий мужик машет. Останавливаются, водитель опускает стекло и спрашивает:
- Ну, а ты, пидор, откуда?
- Дорожный патруль, ваши документы, пожалуйста.))))))

"
494,"Едет автомобилист ночью на машине по лесу.
Вдруг видит, стоит хуй, весь розовый. Автомобилист останавливается и спрашивает:
- А на хуй - это к вам?

"
495,"— Деда, а когда лучше жилось: сейчас или при Сталине?
— Ну, дык, ента, при Сталине конечно!
— А почему, деда?
— Ну так, внучок, при Сталине у меня хуй стоял!

"
496,"- Мариванна, а почему мы в прошлом году сдавали на ремонт 2 тыщи, а в этом- 20?
- Почему? Какие могут быть ""почему"", когда есть героин?

"
497,"Поймал мужик золотую рыбку, хотел уху сварить, а рыбка и говорит ""Не ешь меня, я золотая рыбка"". Мужик
- ""И чего мне с тобой делать тогда?""
Рыбка
- ""Ну ты мужик умный, сказки наверно читал, сообразишь""
Мужик оторвал у рыбки плавники и хвост, бросил на ветер
-""Лети, лети лепесток.....""

"
498,"Школа в стране дураков.
Карабас-Барабас:
-Сегодня будем делать прививки. Мальвина, Пьеро и все остальные, кроме Буратино – на прием к доктору Дуремару.
Буратино:
-А я?
-А тебя сам Мичурин еще с утра дожидается!

"
499,"Железнодоpожный вокзал, пеpрон, два здоpовенных мужика (отец и сын) у каждого по четыpе чемодана + сумки, авоськи, мешочки и кулечки бегут за быстpо набиpающим скоpость паpовозом. Бегут..., падают..., поднимаются опять бегут, уже и пеpрон закончился и поезда не видно, а они все бегут. Вдpуг отец pезко останавливается и как двинет сына в морду. Тот, отлетев метpов пять, в недоумении поднимается:
- За что, батя?!
- А хули делать Гpиша, хули делать-то?

"
500,"Жена мужу выговаривает:
- Ты, - говорит, - мудак. Ты же у меня полный мудак. На работе ты - мудак, дома - ты мудак, в постели ты - мудак, и вообще, если бы был конкурс мудаков, то ты бы там занял 2-е место.
Муж (обиженно):
- А почему 2-е?
Жена:
- Да потому, что ты - мудак.

"
501,"Мужчина просит продавщицу:
- Дайте мне 200 грамм колбасы. И нарежьте - 100 грамм слева направо, а 100 - справа налево.
Та посмотрела на него и уверенно:
- А вы - милиционер!
- Да. А как вы догадались?
- А на вас - форма.

"
502,"Дама в зоопарке восхищается страусами.
- Скажите, пожалуйста, -спросила она служителя. - Они когда-нибудь роняют перья?
- Обычно нет, мадам, но могут уронить, если увидят десять долларов.

"
503,"Когда моей бабушке было 65 врачи посоветовали ей по 5км каждый день. Сейчас ей 89 и мы понятие не имеем где она...

"
504,"ВОЗВРАЩАЕТСЯ УКРАИНЕЦ ИЗ ЗООПАРКА, КУДА ХОДИЛ СМОТРЕТЬ НА ЯКА. КУМ СПРАШИВАЕТ:
— ЯК ЯК?
— НУ, ЯК ЯК? ЯК ЯК ЯК.

"
505,"– Я Антон.
– Тогда я буду звать вас Адольф Жан-Батист де Чингисхан.
– ???
– Понимаете, я работаю локализатором названий зарубежных фильмов.

"
506,"- На перемене один старшеклассник говорит другому:
- Знаешь, я выучил новый фокус.
- Покажешь?
- После уроков.
После уроков началась демонстрация фокуса:
- Снимай брюки... Чувствуешь, будто палец вошел в зад?
- Чувствую.
- А руки-то - вот они!

"
507,"Дочка семилетняя приходит к отцу:

"
508,"- Папа, мы сегодня играли в песочнице, а к нам подошел дядя и позвал меня...
- О боже, и что дальше?
- Ну я подошла к нему, он дал мне конфетку и провел за гараж...
- Какой ужас, как ты могла пойти! И что?
- Потом он сказал, что даст вторую конфетку, если я приподниму платьице...
- Кошмар, и ты что?
- Ну я приподняла, он посмотрел, дал мне конфетку...
- Боже боже, и что было дальше?
- Ничего, он сказал ""спасибо"" и ушел...

"
509,"Отец (яростно мастурбируя): - Ну так, блядь, придумай же что-нибудь!

"
510,"Заходит Гитлер в магазин. Долго ходит, выбирает. Вдруг, подходит к нему продавец-консультант и спрашивает:
-Что-нибудь выбрали?
-Да, вот эта футболочка мне нравится, хочу, что бы было как раз.
-Давайте подберем вам, какой у вас размер, S?
-SS

"
511,"кароче на хате сидят толпа торчков
сидят курят бухают торчат
вдруг звонок в дверь
там полицейский
говорит типа что соседи жалуются на шум
проходит в хату
посреди зала на диване лежит труп
из спины торчит топор, всё в кровищи
полицейский в ахуе кричит: чё за хуйня, где хозяин хаты?!!
приходит хозяин
полицейский: какого хуя у вас посреди хаты труп??
хозяин (не растерявшись): а он уже убитый пришел

"
